Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL
2024-01-02,CBAV3,27,0.74,1.61,4.25,-4.68,59654.0,CBAV3_Down_1_close_Afastado_-0.5_Sell_Corpo,5.07,0.75,0.74,0.74,1,True,5.03,5.07,-0.040000000000000036
2024-01-02,CVCB3,9,0.78,3.69,6.19,-4.8,61815.0,CVCB3_Down_1.5_high_Afastado_-1_Buy_Corpo,3.98,1.0,0.78,0.78,1,False,3.28,3.98,-0.7000000000000002
2024-01-02,CYRE3,34,0.76,1.29,4.79,-3.34,61188.0,CYRE3_Up_0.5_opendia_Afastado_0_Sell_Corpo,opendia_0.0,1.0,0.76,0.76,1,True,21.54,22.28,-0.740000000000002
2024-01-02,EVEN3,28,0.71,1.77,5.38,-3.25,60471.0,EVEN3_Up_0.5_open_Afastado_0.5_Buy_Movimento,6.99,1.0,0.71,0.71,1,True,6.85,6.99,-0.14000000000000057
2024-01-02,GGPS3,55,0.71,1.02,4.3,-4.38,61994.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,18.11,0.75,0.71,0.7,1,True,17.57,18.11,-0.5399999999999991
2024-01-02,GMAT3,21,0.76,2.24,4.53,-2.68,67444.0,GMAT3_Up_1_opendia_Afastado_-0.5_Sell_Corpo,opendia_-0.005,1.0,0.76,0.76,1,True,6.6,6.79585,-0.19585000000000008
2024-01-02,GRND3,33,0.79,1.21,2.25,-3.78,62564.0,GRND3_Up_0.5_opendia_Afastado_-1_Sell_Movimento,opendia_-0.01,0.75,0.79,0.79,1,True,6.05,6.1677,-0.11770000000000014
2024-01-02,ISAE4,30,0.73,1.18,5.32,-2.51,61795.0,ISAE4_Up_0.5_opendia_Afastado_-1_Sell_Pavio,opendia_-0.01,1.0,0.73,0.73,1,True,24.05,23.9679,0.0821000000000005
2024-01-02,JSLG3,24,0.71,1.86,4.51,-3.84,62026.0,JSLG3_Up_1.5_close_Afastado_-1_Buy_Corpo,11.46,1.0,0.71,0.71,1,False,11.78,11.46,0.3199999999999985
2024-01-02,PCAR3,42,0.79,2.27,6.78,-4.36,82429.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Corpo,4.05,1.0,0.79,0.79,1,True,4.19,4.05,0.14000000000000057
